RetailCatLinkSid,DataextrctSid,RetailDeptNm,RetailCatNm,RetailSegmentNm,RetailSubSegmentNm,CatProfileNm,ChangeInd,JobExecSid
166,7,FROZEN,DESSERTS,TOPPINGS,,BRAND/SEGMENT,"I  ",8315
347,7,GROCERY,"PREPARED SAUCE: BBQ, MARINADES, STEAK, WING, HOT, SEAFOOD, SPECIALTY",COOKING/SIMMER,,SEGMENT/BRAND,"I  ",8315
839,7,GROCERY,"TOMATOES & TOMATO PRODUCTS",CAN,">16 OZ+ - 30 OZ",BRAND/SEGMENT,"I  ",8315
149,7,FROZEN,"BREAD & BAKED GOODS","OTHER BAKED GOODS",,SEGMENT/BRAND,"I  ",8315
454,7,DAIRY/PERISHABLE,"NON-DAIRY BEVERAGES","128 OUNCES OR LESS",ALMOND,SEGMENT/BRAND,"I  ",8315
683,7,GROCERY,"CEREALS: HOT",GRAIN,REGULAR,BRAND/SEGMENT,"I  ",8315
212,7,GROCERY,"BEVERAGES: JUICE",CONCENTRATES,,SEGMENT/BRAND,"I  ",8315
811,7,GROCERY,"SOUPS: RTS, MIXES, BROTHS, BOUILLONS, STOCKS & DRY",RAMEN,BOWL,SEGMENT/BRAND,"I  ",8315
315,7,GROCERY,MUSTARDS,"STONE GROUND/WHOLE GRAIN",,BRAND/SEGMENT,"I  ",8315
879,7,"GROCERY/NON FOOD","TRASH, FOOD STORAGE & WRAPS",WRAPS,WAX,SEGMENT/BRAND,"I  ",8315
412,7,"GROCERY/NON FOOD","PET FOOD & TREATS",BIRD,,SEGMENT/BRAND,"I  ",8315
492,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","NON DAIRY YOGURT","MULTI SERVE",SEGMENT/BRAND,"I  ",8315
837,7,GROCERY,"SWEETENERS: DRY & LIQUID","SUGAR SUBSTITUTE",SUCRALOSE,SEGMENT/BRAND,"I  ",8315
675,7,GROCERY,"CEREALS: COLD",OTHER,BOX,BRAND/SEGMENT,"I  ",8315
536,7,GROCERY,ASIAN,MEALS,"SOUP STARTER",SEGMENT/BRAND,"I  ",8315
374,7,GROCERY,"SEASONINGS & SPICES","SALT SUBSTITUTE",,BRAND/SEGMENT,"I  ",8315
597,7,GROCERY,"BATTERS & COATINGS",BREADCRUMBS,TRADITIONAL,SEGMENT/BRAND,"I  ",8315
401,7,"GROCERY/NON FOOD","BABY PRODUCTS",TOYS,,SEGMENT/BRAND,"I  ",8315
477,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","CULTURED BEVERAGE","M/S KEFIR",SEGMENT/BRAND,"I  ",8315
532,7,GROCERY,ASIAN,"COOKING INGREDIENTS",WRAP,SEGMENT/BRAND,"I  ",8315
757,7,GROCERY,"NON-DAIRY BEVERAGES","MULTI-SERVE (APPROX 32 OZ)",ALMOND,SEGMENT/BRAND,"I  ",8315
124,7,DAIRY/PERISHABLE,"MILK AND CREAM","SINGLE SERVE (20OZ OR UNDER)",,SEGMENT/BRAND,"I  ",8315
164,7,FROZEN,DESSERTS,PIES,,BRAND/SEGMENT,"I  ",8315
576,7,GROCERY,"BAKING & CAKE DECORATING",INGREDIENTS,STARCH,SEGMENT/BRAND,"I  ",8315
176,7,FROZEN,"MEAT ALTERNATIVES","NON-BREADED CHUNKS, TIPS AND STRIPS",,BRAND/SEGMENT,"I  ",8315
738,7,GROCERY,"HONEY & SYRUPS","SYRUP: TABLE","NON-MAPLE FLAVORED",SEGMENT/BRAND,"I  ",8315
593,7,GROCERY,"BAKING & CAKE DECORATING","PIE SHELLS",RTU,SEGMENT/BRAND,"I  ",8315
450,7,DAIRY/PERISHABLE,DESSERTS,"READY TO SERVE",TARTS,SEGMENT/BRAND,"I  ",8315
673,7,GROCERY,"CEREALS: COLD",O'S,CUP,BRAND/SEGMENT,"I  ",8315
704,7,GROCERY,"COCKTAIL/DRINK MIXERS & ADDITIVES",MIXERS,RTU-OTHER,SEGMENT/BRAND,"I  ",8315
227,7,GROCERY,"BULK: TRAIL MIXES/MIXES/SALTY SNACKS","SALTY SNACKS",,SEGMENT/BRAND,"I  ",8315
612,7,GROCERY,"BEVERAGES: NONDAIRY NUT, HEMP, RICE, SOY","SINGLE SERVE",RICE,SEGMENT/BRAND,"I  ",8315
601,7,GROCERY,"BEVERAGES: JUICE","NON APPLE","SINGLE VEGETABLE",SEGMENT/BRAND,"I  ",8315
88,7,DAIRY/PERISHABLE,"CHEESE ALTERNATIVES",OTHER,,SEGMENT/BRAND,"I  ",8315
719,7,GROCERY,"ENTREES & MIXES, MAC & CHEESE",BOX,"MACARONI & CHEESE",BRAND/SEGMENT,"I  ",8315
490,7,DAIRY/PERISHABLE,"YOGURT AND CULTURED BEVERAGES","NON DAIRY GREEK YOGURT","SINGLE SERVE",SEGMENT/BRAND,"I  ",8315
