BrandSid,DataextrctSid,BrandLongNm,BrandShortNm,ParentBrandLongNm,ParentBrandShortNm,ChangeInd,JobExecSid
2261,13,"EL PATO",ELPATO,,,"I  ",8330
219,13,"ALPINE TOUCH",ALPINETCH,,,"I  ",8330
7538,13,"UNCLE BRUTHA'S",UNCLBRUTHA,,,"I  ",8330
198,13,"ALMOND ROCA",ALMONDROCA,,,"I  ",8330
3096,13,GREENWORKS,GREENWORKS,,,"I  ",8330
3136,13,"GUS GROWN-UP SODA",GUSSODA,,,"I  ",8330
2217,13,ECO-TOOLS,ECOTOOLS,,,"I  ",8330
2566,13,FLORETTE,FLORETTE,,,"I  ",8330
5256,13,"O BASIC",OBASIC,,,"I  ",8330
7050,13,SWERVE,SWERVE,,,"I  ",8330
4257,13,"LOS CHILEROS",LOSCHILROS,,,"I  ",8330
8007,13,"YAMI ORGANIC",YAMI,,,"I  ",8330
728,13,"BENTO DAN'S",BENTODAN,,,"I  ",8330
585,13,BARENGO,BARENGO,,,"I  ",8330
261,13,"AMERICAN GRAINS",AMERGRAIN,,,"I  ",8330
7479,13,"TURTLE WAX",TURTLEWAX,,,"I  ",8330
4541,13,MAYESA,MAYESA,,,"I  ",8330
7132,13,TAVENER'S,TAVENER,,,"I  ",8330
7214,13,"THAT?S IT",THATSIT,,,"I  ",8330
6970,13,SUNSHINE,SUNSHINE,,,"I  ",8330
6541,13,"SILVER SWAN",SILVERSWAN,,,"I  ",8330
7704,13,VISTA,VISTA,,,"I  ",8330
6152,13,"RISE N SHINE",RISENSHINE,,,"I  ",8330
1992,13,DOFINO,DOFINO,,,"I  ",8330
5502,13,"PAISLEY FARM",PAISLEYFRM,,,"I  ",8330
55,13,ABITA,ABITA,,,"I  ",8330
3767,13,KABOOM,KABOOM,,,"I  ",8330
3441,13,"HORIZON SALT",HORIZNSALT,,,"I  ",8330
2320,13,"ENGINE 2",ENGINE2,,,"I  ",8330
3401,13,HONDASHI,HONDASHI,,,"I  ",8330
360,13,ARBORDOUN,ARBORDOUN,,,"I  ",8330
4116,13,LEAN-UP,LEANUP,,,"I  ",8330
3870,13,KINETIC,KINETIC,,,"I  ",8330
8009,13,"YANCEYS FANCY",YANCEYFNCY,,,"I  ",8330
2463,13,FENTIMAN'S,FENTIMAN,,,"I  ",8330
3849,13,KEVITA,KEVITA,,,"I  ",8330
5523,13,"PANDA LEE KUM KEE",PANDALEE,,,"I  ",8330
871,13,BLISSCUITS,BLISSCUITS,,,"I  ",8330
7805,13,"WEIGHT WISE",WGTWISE,,,"I  ",8330
4051,13,LALITA,LALITA,,,"I  ",8330
688,13,BELGIOIOSO,BELGIOIOSO,,,"I  ",8330
3094,13,"GREENS WORLD",GREENWORLD,,,"I  ",8330
2991,13,"GOSAR RANCH",GOSARRANCH,,,"I  ",8330
5746,13,PLOCHMAN'S,PLOCHMAN,,,"I  ",8330
831,13,BIOTENE,BIOTENE,,,"I  ",8330
6356,13,SARANTI'S,SARANTI,,,"I  ",8330
1258,13,"CARE MATES",CAREMATES,,,"I  ",8330
1931,13,"DESIGNER PERFECT",DESIGNRPER,,,"I  ",8330
3199,13,"HAPPY YOGIS",HAPPYYOGIS,,,"I  ",8330
5113,13,NEW-SKIN,NEWSKIN,,,"I  ",8330
3214,13,"HARVEST CAFE",HARVSTCAFE,,,"I  ",8330
2808,13,"GEORGE FOREMAN",GEOFOREMAN,,,"I  ",8330
3687,13,"JOBY & MARTY'S",JOBY&MARTY,,,"I  ",8330
7948,13,WOODRIVER,WOODRIVER,,,"I  ",8330
2074,13,"DR. SEARS GM",DRSEARSGM,,,"I  ",8330
6175,13,ROBERTSON'S,ROBERTSON,,,"I  ",8330
749,13,"BETTER LIFE",BETTERLIFE,,,"I  ",8330
2890,13,"GLUTEN FREE BISTRO",GFBISTRO,,,"I  ",8330
1483,13,"CIG-NO SMOKING DETERRENT",CIGNO,,,"I  ",8330
5723,13,"PJ MADISON'S",PJMADISON,,,"I  ",8330
7294,13,"TICKLEBELLY DESSERTS",TICKLBELLY,,,"I  ",8330
1523,13,"CLEARLY NATURAL",CLEARLYNAT,,,"I  ",8330
4686,13,MINSLEY,MINSLEY,,,"I  ",8330
1565,13,COCOMAMA,COCOMAMA,,,"I  ",8330
5805,13,"POWER OF FRUIT",POWERFRUIT,,,"I  ",8330
892,13,"BLUE PEARL",BLUEPEARL,,,"I  ",8330
505,13,B&B,B&B,,,"I  ",8330
7092,13,TALLARICO'S,TALLARICO,,,"I  ",8330
566,13,BAMBOOEE,BAMBOOEE,,,"I  ",8330
4074,13,"LARS LARSON",LARSLARSON,,,"I  ",8330
4072,13,"LARRY'S ALL NATURAL POTATOES",LARRY,,,"I  ",8330
6682,13,SOL,SOL,,,"I  ",8330
7643,13,"VEROLE QUESO",VEROLE,,,"I  ",8330
177,13,"ALL TERRAIN",ALLTERRAIN,,,"I  ",8330
5092,13,"NEW BLOOM",NEWBLOOM,,,"I  ",8330
5969,13,"QUANTUM INTERNATIONAL INC",QUANTI,,,"I  ",8330
7662,13,VICOLO,VICOLO,,,"I  ",8330
7826,13,"WEST COAST PRIME MEATS",WESTCOAST,,,"I  ",8330
4316,13,LUSTER,LUSTER,,,"I  ",8330
5992,13,RACCONTO,RACCONTO,,,"I  ",8330
7010,13,SUZIE'S,SUZIE,,,"I  ",8330
2707,13,"FUNLEY'S DELICIOUS",FUNLEY,,,"I  ",8330
7275,13,"THOMPSON NUTRITIONAL",THOMPSNUTR,,,"I  ",8330
1096,13,"BUGS 'R' DONE",BUGSRDONE,,,"I  ",8330
3239,13,"HEALTH CARE PRODUCTS",HLTHCARE,,,"I  ",8330
7641,13,VERNOR'S,VERNOR,,,"I  ",8330
2564,13,FLORADIX,FLORADIX,,,"I  ",8330
217,13,ALPINA,ALPINA,,,"I  ",8330
15,13,"3B BAGS",3BBAGS,,,"I  ",8330
7580,13,VAGISIL,VAGISIL,,,"I  ",8330
3317,13,"HERBAN COWBOY",HERBNCOWBY,,,"I  ",8330
3584,13,"ISLAND JOE'S",ISLNDJOE,,,"I  ",8330
6581,13,"SIR KENSIGNTON'S",SIRKNSNGTN,,,"I  ",8330
6417,13,"SEASIDE NATURALS INC.",SEASIDENAT,,,"I  ",8330
4745,13,MONTCHEVRE,MONTCHEVRE,,,"I  ",8330
2236,13,EFFERDENT,EFFERDENT,,,"I  ",8330
2995,13,GOURMAY,GOURMAY,,,"I  ",8330
259,13,"AMERICAN CREW",AMERCREW,,,"I  ",8330
5313,13,"OLD EL PASO",OLDELPASO,,,"I  ",8330
1115,13,BURTON'S,BURTON,,,"I  ",8330
6705,13,SOMERDALE,SOMERDALE,,,"I  ",8330
4787,13,MOTIONS,MOTIONS,,,"I  ",8330
5357,13,"ONE DEGREE ORGANIC FOODS",ONEDEGREE,,,"I  ",8330
