,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,"Western Region Product (TCS) Types, Categories, & Subgroups  (05/15/14)",,,,
,,,,,,
,up to 99,30 character limit,up to 99,30 character limit,5 character limit,no limit-not applicable to system~for guideline use only
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
,,,,,,
H,39,,06,hand & body lotions,H3906,"sanitizing,antibac nonmed balms & salves,cocoa btr"
H,39,,07,soap / liquid & cleansing cream,H3907,
,39,,,,,
H,39,,08,soap bars,H3908,
,,,,,,
H,40,HAIR & SHAVE,01,hair enhancements,H4001,"colors, sprays, gels"
H,40,,02,shaving,H4002,"aftershave, razors, hair removal"
H,40,,03,shampoo & conditioner,H4003,
,,,,,,
,,,,,,
H,41,LIFESTYLE,01,aromatherapy,H4101,"essential oils & hardware, NOT incense"
H,41,,02,beauty tools,H4102,"makeup pads, sponges, Qtips, brushes, gloves"
H,41,,03,candles & incense,H4103,
H,41,,04,cosmetics & nail,H4104,"makeup remover, henna body paint"
H,41,,05,deal packs & empty's,H4105,"spa kits, lotion pumps, BOGO's, samplers, empty cases"
H,41,,06,displays,H4106,NOT lipbalm displays!
H,41,,07,lifestyle accessories,H4107,"pillows, flannel, magnets, loofas, ear candles, yoga"
H,41,,08,massage,H4108,
,,,,,,
,,,,,,
B,,,,,,
H,42,ORAL CARE,01,lip balms,H4201,NOT makeup lip colors
H,42,,02,oral care,H4202,"toothpaste, dental gums, mint strips, mtwsh, floss"
,,,,,,see N4604 for lozenges & pops
,,,,,,
H,43,PHARMACY,01,aloe & sun care,H4301,"tanning aids, see H4303 for bug, NO lip care"
H,43,,02,medicinal / ointments,H4302,"sports creams, medicinal balms & salves"
H,43,,03,outdoor,H4303,bug spray
H,43,,04,pharmacy,H4304,"band aids,aspirin,epsom salts,perox,lanolin,ketone strp"
H,43,,05,female hygeine/ contraception,H4305,"lubricant, condoms, pads, tampons, progest creams, "
,,,,,,    prenatal/postnatal aids
H,99,SEASONAL ONLY,01,CHRISTMAS,H9901,
H,99,,02,THANKSGIVING,H9902,
H,99,,03,EASTER,H9903,
H,99,,04,OTHER,H9904,"Valentines Day, Halloween"
,,,,,,
TYPE,CAT #,CATEGORY NAME,SUB #,SUBGROUP,FINAL CODE,NOTES/EXAMPLES
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
N,44,GENDER & AGE,01,baby & child,N4401,"vits, herbs, homeopathic, Yummies"
B,,,,,N4402,
B,,,,,N4403,
N,44,,02,teen,N4402,
B,44,,,,,
N,44,,03,men's health,N4403,prostrate
N,44,,04,women's health,N4404,"menopause,prenatal,PMS,wild yam,NO donquai,"
,,,,,,NO yeast
N,45,HERBAL & HOMEOPATHY,01,chinese,N4501,
N,45,,02,herbal formulas & blends,N4502,power
N,45,,03,homeopathy,N4503,"flower essesence, see also N46 or specific needs"
N,45,,04,single herbs,N4504,
N,45,,05,tinctures & extracts,N4505,see N4401 for Herbs 4 Kids
,,,,,,
,,,,,,
,,,,,,
,,,,,,
N,46,SPECIFIC FORMULAS,01,amino acids,N4601,
N,46,,02,antistress & relaxation,N4602,"headache,melatonin,insomnia see also HOMEOPATHY"
N,46,,03,arthritis & joint health,N4603,"MSM, glucosamine, collagens"
N,46,,04,cough & cold,N4604,"flu, bronchial, lozenges"
N,46,,05,detox & liver,N4605,"milk thistle, cleanses"
N,46,,06,digestion aids,N4606,"colon,fiber,(co)enzymes,laxatives,psyllium,charcoal"
N,46,,07,ginseng & energy,N4607,donquai
N,46,,08,glandular,N4608,
N,46,,09,memory & mental clarity,N4609,gingko
B,46,,,,N4610,
B,46,,,,N4611,
B,46,,,,N4612,
B,46,,,,N4613,
B,46,,,,N4614,
B,46,,,,N4615,
B,46,,,,N4616,
B,46,,,,N4617,
B,46,,,,N4618,
B,46,,,,N4619,
N,46,,10,other specific formulas,N4610,"hair-skin-nails, ear, NOT miscellaneous!"
N,46,,11,sinus & allergy,N4611,"asthma, snore, nasal, quercetin"
N,46,,12,yeast level maintenance,N4612,"candida, cranberry"
N,46,,13,heart & circulation,N4613,"blood pressure, cholesterol, vein, lung"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
N,46,,14,immune,N4614,
N,46,,15,vision,N4615,"eyedrops, luetin"
,,,,,,
N,47,SUPPLEMENTS,01,aloe vera supps,N4701,
N,47,,02,bee products,N4702,propolis
,47,,,,N4703,
N,47,,03,deal packs & empty's,N4703,"kits, BOGO's, vitaminders, vegicap empties"
,47,,,,,
N,47,,04,displays,N4704,
N,47,,05,"EFA's, EPO's, fish oils",N4705,"flax, cod, omega, GLA, cod liver, hemp"
,47,,,,,
N,47,,06,garlic,N4706,
N,47,,07,green foods,N4707,"chlorophyll, sea kelp"
